chrom	chromStart	chromEnd	probeID	probe_strand
chr1	44721957	44721959	cg24527881	+
chr1	44722137	44722139	cg03320492	+
chr1	44801672	44801674	cg27583604	-
chr1	44806588	44806590	cg16814416	+
chr1	45327041	45327043	cg12178578	-
chr1	45803721	45803723	cg16730386	+
chr1	46167023	46167025	cg27636310	-
chr1	46286302	46286304	cg21407196	-
chr1	46586079	46586081	cg01440934	-
chr1	46692136	46692138	cg06824199	+
chr1	47416592	47416594	cg19809499	-
chr1	47416641	47416643	cg18815943	-
chr1	47416649	47416651	cg15457058	-
chr1	47417066	47417068	cg22796507	-
chr1	47434583	47434585	cg22438763	+
chr1	47991851	47991853	cg25303772	-
chr1	48494464	48494466	cg04865113	+
chr1	50415512	50415514	cg16391955	-
chr1	50418807	50418809	cg10512745	+
chr1	50423153	50423155	cg26560222	-
chr1	51422616	51422618	cg02670343	+
chr1	51879619	51879621	cg03649284	+
chr1	52423902	52423904	cg16602500	-
chr1	52637621	52637623	cg12527995	-
chr1	52730086	52730088	cg22166914	-
chr1	52921530	52921532	cg09128567	-
chr1	53331096	53331098	cg12299361	+
chr1	54289479	54289481	cg09586583	-
chr1	54298268	54298270	cg20775316	+
chr1	54387139	54387141	cg17819831	-
chr1	54390741	54390743	cg15829056	+
chr1	54672385	54672387	cg10210690	-
chr1	54850807	54850809	cg10177197	-
chr1	55195633	55195635	cg06881398	-
chr1	55363604	55363606	cg07048504	-
chr1	55697783	55697785	cg18137779	+
chr1	56495646	56495648	cg07477602	-
chr1	58432999	58433001	cg03513464	-
chr1	58433120	58433122	cg10708189	-
chr1	58576602	58576604	cg24851854	+
chr1	58577072	58577074	cg13786801	+
chr1	58727715	58727717	cg13432945	+
chr1	58848841	58848843	cg11586930	+
chr1	59026217	59026219	cg08939052	+
chr1	59117095	59117097	cg26607258	-
chr1	59151364	59151366	cg21809161	-
chr1	59367816	59367818	cg23670353	-
chr1	59565582	59565584	cg18234973	-
chr1	59814830	59814832	cg11792516	+
chr1	60848624	60848626	cg00575674	+
chr1	61184300	61184302	cg15575375	-
chr1	62194951	62194953	cg23049458	+
chr1	62195188	62195190	cg03731268	+
chr1	63074057	63074059	cg23166865	-
chr1	63319649	63319651	cg15617155	-
chr1	63319872	63319874	cg02283366	-
chr1	63320274	63320276	cg06962177	+
chr1	63320599	63320601	cg18175808	+
chr1	63324372	63324374	cg18279094	-
chr1	64516409	64516411	cg12299795	+
chr1	65266005	65266007	cg00466108	+
chr1	65309375	65309377	cg06346974	-
chr1	65426020	65426022	cg01933519	-
chr1	65525912	65525914	cg16987305	+
chr1	66311895	66311897	cg24058805	+
chr1	66553141	66553143	cg23217983	+
chr1	67333245	67333247	cg09018107	+
chr1	67743471	67743473	cg11209521	+
chr1	68047123	68047125	cg20149168	+
chr1	68047244	68047246	cg00448707	-
chr1	75785950	75785952	cg21812670	-
chr1	76867473	76867475	cg13463054	+
chr1	76867543	76867545	cg04077662	-
chr1	77810021	77810023	cg05120668	+
chr1	77832521	77832523	cg10624729	-
chr1	77986442	77986444	cg25105688	+
chr1	78045675	78045677	cg09826056	-
chr1	78045781	78045783	cg01074657	+
chr1	78046444	78046446	cg24719487	+
chr1	79006766	79006768	cg26422458	-
chr1	82979724	82979726	cg10061129	-
chr1	84693319	84693321	cg10096893	-
chr1	85259839	85259841	cg21245975	-
chr1	85278048	85278050	cg17322118	+
chr1	85298337	85298339	cg27183818	+
chr1	85417981	85417983	cg00308936	+
chr1	85447666	85447668	cg11420771	+
chr1	85582123	85582125	cg22123915	+
chr1	85582227	85582229	cg13206932	-
chr1	85582795	85582797	cg07602008	+
chr1	85582856	85582858	cg20293609	+
chr1	85611897	85611899	cg18966152	-
chr1	85629141	85629143	cg20960181	+
chr1	87098026	87098028	cg15515095	-
chr1	87872317	87872319	cg07568588	-
chr1	89127041	89127043	cg15718932	+
chr1	89198861	89198863	cg20410995	-
chr1	89199098	89199100	cg27285720	+
chr1	89528255	89528257	cg13151751	+
chr1	90717493	90717495	cg25026529	+
chr1	90718139	90718141	cg11823511	-
chr1	90725024	90725026	cg19414591	+
chr1	90725062	90725064	cg15452970	-
chr1	90725696	90725698	cg15992284	+
chr1	90835926	90835928	cg06849504	+
chr1	90836093	90836095	cg00503383	-
chr1	90836404	90836406	cg17799946	-
chr1	91523709	91523711	cg01782024	-
chr1	91884575	91884577	cg01336162	-
chr1	91948962	91948964	cg03421440	+
chr1	91949224	91949226	cg02935097	-
chr1	92481142	92481144	cg18146737	+
chr1	92481477	92481479	cg18316974	-
chr1	92482030	92482032	cg09935388	-
chr1	92487698	92487700	cg07805029	-
chr1	92792758	92792760	cg24699699	-
chr1	92792761	92792763	cg00519208	-
chr1	93567334	93567336	cg24879726	-
chr1	93608476	93608478	cg05941840	-
chr1	93678702	93678704	cg04620946	-
chr1	94095140	94095142	cg09234454	+
chr1	94095508	94095510	cg18185648	-
chr1	94629664	94629666	cg04079215	+
chr1	94919631	94919633	cg12725834	-
chr1	94955004	94955006	cg04345541	+
chr1	96837540	96837542	cg26336118	-
chr1	98049530	98049532	cg03208936	+
chr1	99004572	99004574	cg14991984	-
chr1	100292695	100292697	cg16736054	-
chr1	100517037	100517039	cg16646597	+
chr1	107572793	107572795	cg06942111	-
chr1	108136115	108136117	cg16307793	+
chr1	108664955	108664957	cg05157904	+
chr1	108720059	108720061	cg10064525	-
chr1	108816552	108816554	cg16315020	-
chr1	108858108	108858110	cg13909826	+
chr1	109094539	109094541	cg05708073	+
chr1	109280473	109280475	cg22694271	+
chr1	109613216	109613218	cg07114627	-
chr1	109643382	109643384	cg18533397	+
chr1	109643404	109643406	cg00924017	+
chr1	109783662	109783664	cg22391718	+
chr1	109877421	109877423	cg08846079	-
chr1	109883467	109883469	cg26433561	+
chr1	110004080	110004082	cg08091439	+
chr1	110068276	110068278	cg18786873	+
chr1	111199892	111199894	cg26518580	+
chr1	111200397	111200399	cg08864105	-
chr1	111200577	111200579	cg19269039	-
chr1	111200579	111200581	cg20317872	-
chr1	111200788	111200790	cg19268695	-
chr1	111200914	111200916	cg23631538	+
chr1	111203654	111203656	cg08663890	+
chr1	111204679	111204681	cg14519917	-
chr1	111226214	111226216	cg03916225	+
chr1	111391134	111391136	cg16966139	+
chr1	111473963	111473965	cg23068939	-
chr1	111473992	111473994	cg23894854	-
chr1	111515256	111515258	cg10376161	+
chr1	111593226	111593228	cg16108580	+
chr1	112697022	112697024	cg00719568	-
chr1	112957706	112957708	cg07176692	-
chr1	113794060	113794062	cg20977024	+
chr1	113887192	113887194	cg12486521	-
chr1	113887342	113887344	cg13801402	+
chr1	113932432	113932434	cg13932286	+
chr1	113940974	113940976	cg18081760	+
chr1	113981967	113981969	cg03258927	+
chr1	114346146	114346148	cg02157078	-
chr1	114855235	114855237	cg10440578	+
chr1	115099528	115099530	cg11857093	-
chr1	115338243	115338245	cg09008705	-
chr1	115728004	115728006	cg14985891	+
chr1	116006605	116006607	cg12609063	+
chr1	116151536	116151538	cg19913496	-
chr1	116334943	116334945	cg17466510	-
chr1	116346203	116346205	cg24075990	-
chr1	116374996	116374998	cg04403423	+
chr1	116572293	116572295	cg21167563	-
chr1	116738819	116738821	cg09312904	-
chr1	116754331	116754333	cg03016153	+
chr1	116764046	116764048	cg00027570	+
chr1	116909907	116909909	cg22736787	+
chr1	116909957	116909959	cg26029682	+
chr1	116986855	116986857	cg14027204	-
chr1	116986996	116986998	cg15937641	-
chr1	116987149	116987151	cg17042439	+
chr1	116987331	116987333	cg24687529	-
chr1	119004304	119004306	cg17479943	-
chr1	119006201	119006203	cg01959730	+
chr1	119007567	119007569	cg25771271	-
chr1	119160070	119160072	cg16577665	-
chr1	121006733	121006735	cg18184071	-
chr1	121396872	121396874	cg05783455	-
chr1	121518014	121518016	cg16724800	-
chr1	121518928	121518930	cg14409823	-
chr1	144570418	144570420	cg17736671	+
chr1	145285342	145285344	cg23976142	+
chr1	145719949	145719951	cg08614201	-
chr1	145922430	145922432	cg22713444	-
chr1	147178055	147178057	cg06901711	-
chr1	148318341	148318343	cg25200152	+
chr1	149929249	149929251	cg00177203	+
chr1	149936887	149936889	cg24620905	-
chr1	150282134	150282136	cg06982544	-
chr1	150563458	150563460	cg07120889	+
chr1	150808717	150808719	cg16516490	-
chr1	150808957	150808959	cg11946165	+
chr1	150964398	150964400	cg15151059	+
chr1	150997115	150997117	cg21859421	-
chr1	151006882	151006884	cg19748495	-
chr1	151006887	151006889	cg06180099	-
chr1	151131526	151131528	cg16399136	+
chr1	151156585	151156587	cg16565154	+
chr1	151156821	151156823	cg23612220	+
chr1	151157367	151157369	cg01903374	-
chr1	151164797	151164799	cg24262376	-
chr1	151372704	151372706	cg24486037	+
chr1	151473543	151473545	cg06515634	+
chr1	151804523	151804525	cg05350607	-
chr1	151805927	151805929	cg07206827	+
chr1	151833184	151833186	cg03984502	+
chr1	151838008	151838010	cg26426745	-
chr1	151838112	151838114	cg22604218	-
chr1	151838410	151838412	cg15015892	+
chr1	151838416	151838418	cg05021743	+
chr1	151838422	151838424	cg10781408	+
chr1	151838427	151838429	cg04296699	+
chr1	151838887	151838889	cg12749132	+
chr1	151909807	151909809	cg03147210	-
chr1	151909810	151909812	cg24540521	-
chr1	151995220	151995222	cg18348690	+
chr1	152112710	152112712	cg00584000	-
chr1	152411365	152411367	cg22164207	+
chr1	153543062	153543064	cg21217846	-
chr1	153609017	153609019	cg07910075	-
chr1	153609058	153609060	cg11820824	-
chr1	153609178	153609180	cg19255608	-
chr1	154207379	154207381	cg14520957	-
chr1	154207384	154207386	cg04934776	-
chr1	154402474	154402476	cg26538164	+
chr1	154407702	154407704	cg04437762	-
chr1	154465216	154465218	cg21262032	+
chr1	154500863	154500865	cg00114710	-
chr1	154502662	154502664	cg02457680	-
chr1	154610912	154610914	cg09786420	-
chr1	154759461	154759463	cg05343739	+
chr1	154925041	154925043	cg04488111	-
chr1	154970433	154970435	cg06186450	+
chr1	154970823	154970825	cg04995846	-
chr1	154970872	154970874	cg22018051	-
chr1	154971455	154971457	cg19356022	-
chr1	155008266	155008268	cg17329534	+
chr1	155009352	155009354	cg22505006	+
chr1	155010144	155010146	cg24955196	+
chr1	155011518	155011520	cg06649639	+
chr1	155013761	155013763	cg17588293	-
chr1	155014035	155014037	cg01782486	-
chr1	155016244	155016246	cg19233405	-
chr1	155062911	155062913	cg00585901	+
chr1	155295234	155295236	cg11736940	-
chr1	155514808	155514810	cg23589035	+
chr1	155536264	155536266	cg08005692	+
chr1	156097194	156097196	cg20685713	-
chr1	156647011	156647013	cg16269733	+
chr1	156754484	156754486	cg09166556	+
chr1	157133848	157133850	cg16374333	+
chr1	157566505	157566507	cg00699569	+
chr1	157700919	157700921	cg08786003	+
chr1	157806899	157806901	cg08933467	+
chr1	157994738	157994740	cg25597580	+
chr1	158019729	158019731	cg08640619	+
chr1	158038264	158038266	cg07356534	+
chr1	158071521	158071523	cg11525252	-
chr1	158204236	158204238	cg17945429	+
chr1	158935688	158935690	cg00112929	-
chr1	158999921	158999923	cg19707735	-
chr1	160204050	160204052	cg03730703	+
chr1	160339429	160339431	cg09332506	+
chr1	160400049	160400051	cg10400707	-
chr1	160400078	160400080	cg14710465	+
chr1	160646813	160646815	cg20535085	-
chr1	160796014	160796016	cg18920397	+
chr1	161068715	161068717	cg07837534	+
chr1	161069899	161069901	cg00045607	-
chr1	161070253	161070255	cg01774645	+
chr1	161090209	161090211	cg17833106	+
chr1	161090831	161090833	cg26035542	+
chr1	161201678	161201680	cg08850169	-
chr1	161201841	161201843	cg23274951	+
chr1	161214029	161214031	cg07356342	-
chr1	161214514	161214516	cg20609803	+
chr1	161505179	161505181	cg06350097	-
chr1	161505185	161505187	cg24422489	-
chr1	161621697	161621699	cg11674865	-
chr1	161706678	161706680	cg05033369	-
chr1	161706790	161706792	cg24074594	-
chr1	161707661	161707663	cg11193201	-
chr1	161727783	161727785	cg07385423	-
chr1	162412408	162412410	cg12274567	+
chr1	162562711	162562713	cg13178361	-
chr1	162892753	162892755	cg12033619	-
chr1	164611931	164611933	cg20812370	+
chr1	165890476	165890478	cg10972897	-
chr1	166948029	166948031	cg09259179	+
chr1	167430883	167430885	cg15518113	+
chr1	167517740	167517742	cg14278300	+
chr1	167518057	167518059	cg09032544	+
chr1	167518158	167518160	cg05799811	-
chr1	167518395	167518397	cg07786657	+
chr1	167632037	167632039	cg25765104	+
chr1	167747147	167747149	cg22045055	-
chr1	167764072	167764074	cg15210526	+
chr1	167796957	167796959	cg21940308	+
chr1	168261647	168261649	cg24509919	+
chr1	168428677	168428679	cg12708109	+
chr1	168729240	168729242	cg21266845	+
chr1	168920901	168920903	cg06350853	-
chr1	169711471	169711473	cg19853494	+
chr1	170309556	170309558	cg19938436	-
chr1	170660413	170660415	cg22795586	+
chr1	170660928	170660930	cg22797031	-
chr1	170661416	170661418	cg23089825	+
chr1	171745159	171745161	cg14028598	-
chr1	172144615	172144617	cg25214966	+
chr1	172144779	172144781	cg24002149	+
chr1	172144906	172144908	cg21450888	-
chr1	172144927	172144929	cg17178220	-
chr1	172322586	172322588	cg06267617	+
chr1	172344657	172344659	cg07802362	+
chr1	172441076	172441078	cg00501765	+
chr1	172639503	172639505	cg17756730	-
chr1	172658924	172658926	cg06983746	-
chr1	172659373	172659375	cg15729230	-
chr1	172705018	172705020	cg00045114	-
chr1	172939647	172939649	cg15642380	-
chr1	173050579	173050581	cg19589427	+
chr1	173051351	173051353	cg05936800	+
chr1	173853123	173853125	cg01909243	+
chr1	175189189	175189191	cg27226320	-
chr1	176559646	176559648	cg18236464	-
chr1	177030779	177030781	cg04735660	+
chr1	178086997	178086999	cg09264231	-
chr1	178576151	178576153	cg24593832	+
chr1	179047097	179047099	cg24108508	-
chr1	179087931	179087933	cg21265278	-
chr1	179832491	179832493	cg00122659	+
chr1	179873975	179873977	cg10100117	+
chr1	179951906	179951908	cg24448340	-
